# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=a"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 12, 2021 at 11:08:58 PM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=random"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
81	W+R	W+R	W+R	0	-	62	9.3	9.7	0	0	0	
82	W+R	W+R	W+R	0	-	64	9.6	10.1	0	0	0	
83	B+R	B+R	B+R	0	-	61	8.9	9.5	0	0	0	
84	W+R	W+R	W+R	0	-	60	9.3	9.9	0	0	0	
85	B+R	B+R	B+R	0	-	63	9.9	10.8	0	0	0	
86	B+R	B+R	B+R	0	-	63	8.7	9.4	0	0	0	
87	B+R	B+R	B+R	0	-	63	9.4	10.1	0	0	0	
88	W+R	W+R	W+R	0	-	66	9.9	10.7	0	0	0	
89	W+R	W+R	W+R	0	-	62	8.8	9.4	0	0	0	
90	B+R	B+R	B+R	0	-	63	9.1	9.7	0	0	0	
91	B+R	B+R	B+R	0	-	63	9.2	9.7	0	0	0	
92	B+R	B+R	B+R	0	-	61	8.5	9.2	0	0	0	
93	W+R	W+R	W+R	0	-	62	9.8	12.4	0	0	0	
94	B+R	B+R	B+R	0	-	59	8.5	9.1	0	0	0	
95	B+R	B+R	B+R	0	-	59	10.2	11	0	0	0	
96	W+R	W+R	W+R	0	-	64	9.2	9.9	0	0	0	
97	W+R	W+R	W+R	0	-	60	9.2	9.8	0	0	0	
98	B+R	B+R	B+R	0	-	63	9.9	10.4	0	0	0	
99	B+R	B+R	B+R	0	-	63	9	9.8	0	0	0	
100	W+R	W+R	W+R	0	-	62	9	9.3	0	0	0	
101	B+R	B+R	B+R	0	-	61	8.9	9.6	0	0	0	
102	B+R	B+R	B+R	0	-	63	8.9	9.4	0	0	0	
103	B+R	B+R	B+R	0	-	63	9.5	9.7	0	0	0	
104	B+R	B+R	B+R	0	-	63	9.1	9.4	0	0	0	
105	B+R	B+R	B+R	0	-	63	9	9.4	0	0	0	
106	B+R	B+R	B+R	0	-	61	8.8	9.4	0	0	0	
107	B+R	B+R	B+R	0	-	61	9	9.5	0	0	0	
108	B+R	B+R	B+R	0	-	59	9	9.8	0	0	0	
109	W+R	W+R	W+R	0	-	60	8.7	9.2	0	0	0	
110	W+R	W+R	W+R	0	-	60	9.2	9.7	0	0	0	
111	W+R	W+R	W+R	0	-	64	9.8	10.3	0	0	0	
112	W+R	W+R	W+R	0	-	62	9.3	9.8	0	0	0	
113	W+R	W+R	W+R	0	-	62	9.1	9.6	0	0	0	
114	B+R	B+R	B+R	0	-	63	9.4	10.2	0	0	0	
115	B+R	B+R	B+R	0	-	59	9.8	10.5	0	0	0	
116	W+R	W+R	W+R	0	-	60	8.8	9.2	0	0	0	
117	W+R	W+R	W+R	0	-	66	9.7	10.1	0	0	0	
118	B+R	B+R	B+R	0	-	61	10.1	10.7	0	0	0	
119	B+R	B+R	B+R	0	-	59	8.8	9.6	0	0	0	
120	W+R	W+R	W+R	0	-	60	8.6	8.9	0	0	0	
121	B+R	B+R	B+R	0	-	61	9	9.4	0	0	0	
122	B+R	B+R	B+R	0	-	63	9.6	10	0	0	0	
123	B+R	B+R	B+R	0	-	65	9.5	10.3	0	0	0	
124	B+R	B+R	B+R	0	-	61	9.4	10	0	0	0	
125	B+R	B+R	B+R	0	-	63	9.5	10.4	0	0	0	
126	B+R	B+R	B+R	0	-	63	8.9	9.4	0	0	0	
127	W+R	W+R	W+R	0	-	64	9.1	9.6	0	0	0	
128	B+R	B+R	B+R	0	-	65	9.2	9.8	0	0	0	
129	B+R	B+R	B+R	0	-	67	9.7	10.4	0	0	0	
130	B+R	B+R	B+R	0	-	63	9.9	10.6	0	0	0	
131	W+R	W+R	W+R	0	-	64	9.7	10.1	0	0	0	
132	W+R	W+R	W+R	0	-	62	9.2	9.4	0	0	0	
133	W+R	W+R	W+R	0	-	62	9.3	9.4	0	0	0	
134	B+R	B+R	B+R	0	-	63	9.7	10.1	0	0	0	
135	W+R	W+R	W+R	0	-	58	9	9.5	0	0	0	
136	W+R	W+R	W+R	0	-	66	10.8	11.5	0	0	0	
137	B+R	B+R	B+R	0	-	63	9.3	9.8	0	0	0	
138	B+R	B+R	B+R	0	-	65	10.4	10.9	0	0	0	
139	W+R	W+R	W+R	0	-	60	9.1	9.5	0	0	0	
140	B+R	B+R	B+R	0	-	65	9.6	10.1	0	0	0	
141	W+R	W+R	W+R	0	-	64	9.2	9.7	0	0	0	
142	B+R	B+R	B+R	0	-	65	11.2	11.9	0	0	0	
143	B+R	B+R	B+R	0	-	63	9.4	10	0	0	0	
144	W+R	W+R	W+R	0	-	62	9.3	9.5	0	0	0	
145	B+R	B+R	B+R	0	-	63	9	9	0	0	0	
146	B+R	B+R	B+R	0	-	61	8.9	9	0	0	0	
147	W+R	W+R	W+R	0	-	62	8.9	8.9	0	0	0	
148	B+R	B+R	B+R	0	-	59	9.3	9.2	0	0	0	
149	W+R	W+R	W+R	0	-	62	9.3	9.1	0	0	0	
150	B+R	B+R	B+R	0	-	63	9.4	9.2	0	0	0	
151	B+R	B+R	B+R	0	-	61	8.8	9.2	0	0	0	
152	W+R	W+R	W+R	0	-	64	9.5	9.7	0	0	0	
153	B+R	B+R	B+R	0	-	61	9.6	9.9	0	0	0	
154	B+R	B+R	B+R	0	-	63	10.5	9.6	0	0	0	
155	B+R	B+R	B+R	0	-	61	8.9	9.6	0	0	0	
156	B+R	B+R	B+R	0	-	59	8.5	9.3	0	0	0	
157	B+R	B+R	B+R	0	-	59	8.6	9.3	0	0	0	
158	B+R	B+R	B+R	0	-	61	9.1	9.7	0	0	0	
159	B+R	B+R	B+R	0	-	65	10.1	10.9	0	0	0	
160	W+R	W+R	W+R	0	-	64	9.6	9.6	0	0	0	
