# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=random"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 13, 2021 at 12:28:28 AM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=a"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
81	W+R	W+R	W+R	0	-	62	9.4	8.5	0	0	0	
82	W+R	W+R	W+R	0	-	64	9.2	8.4	0	0	0	
83	W+R	W+R	W+R	0	-	62	9.2	8.4	0	0	0	
84	W+R	W+R	W+R	0	-	64	9.5	8.7	0	0	0	
85	W+R	W+R	W+R	0	-	64	10.2	9.2	0	0	0	
86	B+R	B+R	B+R	0	-	61	9	8.4	0	0	0	
87	B+R	B+R	B+R	0	-	61	9.4	8.7	0	0	0	
88	W+R	W+R	W+R	0	-	62	9.6	8.8	0	0	0	
89	W+R	W+R	W+R	0	-	62	11.1	9	0	0	0	
90	B+R	B+R	B+R	0	-	61	9	8.3	0	0	0	
91	W+R	W+R	W+R	0	-	62	9.8	8.9	0	0	0	
92	B+R	B+R	B+R	0	-	63	10.2	9.2	0	0	0	
93	W+R	W+R	W+R	0	-	64	10.3	9.3	0	0	0	
94	W+R	W+R	W+R	0	-	60	9.2	8.2	0	0	0	
95	B+R	B+R	B+R	0	-	61	9.7	8.9	0	0	0	
96	B+R	B+R	B+R	0	-	59	9.3	8.3	0	0	0	
97	B+R	B+R	B+R	0	-	59	9.8	9	0	0	0	
98	B+R	B+R	B+R	0	-	59	9.3	8.5	0	0	0	
99	B+R	B+R	B+R	0	-	65	10.8	9.7	0	0	0	
100	W+R	W+R	W+R	0	-	62	9.5	8.4	0	0	0	
101	B+R	B+R	B+R	0	-	59	9.4	8.7	0	0	0	
102	W+R	W+R	W+R	0	-	64	9.9	9.2	0	0	0	
103	B+R	B+R	B+R	0	-	59	9.1	8.7	0	0	0	
104	W+R	W+R	W+R	0	-	62	9.7	8.9	0	0	0	
105	B+R	B+R	B+R	0	-	59	10.1	9.7	0	0	0	
106	W+R	W+R	W+R	0	-	64	11.4	10.6	0	0	0	
107	W+R	W+R	W+R	0	-	62	9.5	8.7	0	0	0	
108	B+R	B+R	B+R	0	-	61	9.3	8.5	0	0	0	
109	B+R	B+R	B+R	0	-	63	9.3	8.9	0	0	0	
110	W+R	W+R	W+R	0	-	64	9.6	8.9	0	0	0	
111	W+R	W+R	W+R	0	-	64	9.9	9.2	0	0	0	
112	B+R	B+R	B+R	0	-	63	9.9	9.2	0	0	0	
113	W+R	W+R	W+R	0	-	62	9.6	8.8	0	0	0	
114	W+R	W+R	W+R	0	-	62	9.1	8.5	0	0	0	
115	B+R	B+R	B+R	0	-	65	10.9	10.3	0	0	0	
116	W+R	W+R	W+R	0	-	62	9.4	8.7	0	0	0	
117	W+R	W+R	W+R	0	-	60	9.4	8.5	0	0	0	
118	W+R	W+R	W+R	0	-	64	9.7	8.9	0	0	0	
119	B+R	B+R	B+R	0	-	61	9.2	8.7	0	0	0	
120	W+R	W+R	W+R	0	-	62	10.2	9.3	0	0	0	
121	B+R	B+R	B+R	0	-	61	9	8.5	0	0	0	
122	B+R	B+R	B+R	0	-	65	10	9.2	0	0	0	
123	B+R	B+R	B+R	0	-	63	9.8	9	0	0	0	
124	W+R	W+R	W+R	0	-	60	9.6	8.7	0	0	0	
125	W+R	W+R	W+R	0	-	64	9.6	8.8	0	0	0	
126	B+R	B+R	B+R	0	-	61	9.9	9.2	0	0	0	
127	W+R	W+R	W+R	0	-	62	9.1	8.4	0	0	0	
128	W+R	W+R	W+R	0	-	64	9.6	8.9	0	0	0	
129	W+R	W+R	W+R	0	-	66	10.2	9.4	0	0	0	
130	W+R	W+R	W+R	0	-	64	10.6	9.5	0	0	0	
131	W+R	W+R	W+R	0	-	62	10.3	9.5	0	0	0	
132	W+R	W+R	W+R	0	-	62	9.3	8.3	0	0	0	
133	W+R	W+R	W+R	0	-	64	10.2	9.4	0	0	0	
134	B+R	B+R	B+R	0	-	65	10.2	9.5	0	0	0	
135	B+R	B+R	B+R	0	-	61	9.1	8.6	0	0	0	
136	B+R	B+R	B+R	0	-	57	9.2	8.5	0	0	0	
137	B+R	B+R	B+R	0	-	61	9.2	8.6	0	0	0	
138	B+R	B+R	B+R	0	-	59	9.3	8.5	0	0	0	
139	W+R	W+R	W+R	0	-	62	9.6	8.8	0	0	0	
140	W+R	W+R	W+R	0	-	60	8.8	8.1	0	0	0	
141	B+R	B+R	B+R	0	-	59	9.4	8.7	0	0	0	
142	B+R	B+R	B+R	0	-	61	9.2	8.5	0	0	0	
143	B+R	B+R	B+R	0	-	63	9.5	9	0	0	0	
144	B+R	B+R	B+R	0	-	65	10.1	9.4	0	0	0	
145	W+R	W+R	W+R	0	-	62	9.3	8.6	0	0	0	
146	B+R	B+R	B+R	0	-	63	10.4	9.5	0	0	0	
147	B+R	B+R	B+R	0	-	63	10.7	10	0	0	0	
148	W+R	W+R	W+R	0	-	60	9.7	8.9	0	0	0	
149	B+R	B+R	B+R	0	-	63	9.8	9	0	0	0	
150	B+R	B+R	B+R	0	-	61	10.3	9.5	0	0	0	
151	W+R	W+R	W+R	0	-	62	10.1	9.1	0	0	0	
152	B+R	B+R	B+R	0	-	61	9.2	8.6	0	0	0	
153	W+R	W+R	W+R	0	-	62	10.1	9.2	0	0	0	
154	W+R	W+R	W+R	0	-	64	10.4	9.4	0	0	0	
155	W+R	W+R	W+R	0	-	62	10.1	9.2	0	0	0	
156	B+R	B+R	B+R	0	-	61	9.5	8.9	0	0	0	
157	B+R	B+R	B+R	0	-	61	9.2	9.7	0	0	0	
158	W+R	W+R	W+R	0	-	62	9.5	8.6	0	0	0	
159	B+R	B+R	B+R	0	-	65	10.9	10	0	0	0	
160	W+R	W+R	W+R	0	-	62	9.6	8.8	0	0	0	
161	B+R	B+R	B+R	0	-	63	9.1	8.4	0	0	0	
162	W+R	W+R	W+R	0	-	62	9.7	8.8	0	0	0	
163	B+R	B+R	B+R	0	-	63	9.4	8.7	0	0	0	
164	W+R	W+R	W+R	0	-	64	9.8	9	0	0	0	
165	W+R	W+R	W+R	0	-	62	9.8	9	0	0	0	
166	B+R	B+R	B+R	0	-	65	10.1	9.3	0	0	0	
167	W+R	W+R	W+R	0	-	62	9.3	8.6	0	0	0	
168	B+R	B+R	B+R	0	-	63	9.4	8.8	0	0	0	
169	B+R	B+R	B+R	0	-	61	9.2	8.6	0	0	0	
170	B+R	B+R	B+R	0	-	65	9.7	9	0	0	0	
171	B+R	B+R	B+R	0	-	59	9.4	8.6	0	0	0	
172	W+R	W+R	W+R	0	-	62	9.3	8.4	0	0	0	
173	B+R	B+R	B+R	0	-	57	9.1	8.4	0	0	0	
174	B+R	B+R	B+R	0	-	63	9.9	9.2	0	0	0	
175	W+R	W+R	W+R	0	-	60	9.4	8.7	0	0	0	
176	B+R	B+R	B+R	0	-	61	9.2	8.3	0	0	0	
177	W+R	W+R	W+R	0	-	62	9.4	8.5	0	0	0	
178	B+R	B+R	B+R	0	-	59	9	8.3	0	0	0	
179	B+R	B+R	B+R	0	-	63	12.3	9.4	0	0	0	
180	W+R	W+R	W+R	0	-	62	9.7	8.8	0	0	0	
181	W+R	W+R	W+R	0	-	62	10.4	9.6	0	0	0	
182	W+R	W+R	W+R	0	-	62	9.9	9.1	0	0	0	
183	B+R	B+R	B+R	0	-	61	9.1	8.4	0	0	0	
184	W+R	W+R	W+R	0	-	64	10.5	9.6	0	0	0	
185	B+R	B+R	B+R	0	-	63	10.2	9.5	0	0	0	
186	W+R	W+R	W+R	0	-	62	10	9.1	0	0	0	
187	W+R	W+R	W+R	0	-	66	10.1	9.3	0	0	0	
188	W+R	W+R	W+R	0	-	62	10	9.1	0	0	0	
189	B+R	B+R	B+R	0	-	61	9.2	8.5	0	0	0	
190	B+R	B+R	B+R	0	-	59	9	8.3	0	0	0	
191	B+R	B+R	B+R	0	-	63	9.8	9	0	0	0	
192	W+R	W+R	W+R	0	-	62	9.8	8.9	0	0	0	
193	W+R	W+R	W+R	0	-	64	10.2	9.5	0	0	0	
194	W+R	W+R	W+R	0	-	64	9.9	9	0	0	0	
195	W+R	W+R	W+R	0	-	62	9.6	8.7	0	0	0	
196	B+R	B+R	B+R	0	-	61	9.1	8.4	0	0	0	
197	W+R	W+R	W+R	0	-	62	9.3	8.3	0	0	0	
198	B+R	B+R	B+R	0	-	61	9.6	9	0	0	0	
199	W+R	W+R	W+R	0	-	62	9.3	8.4	0	0	0	
200	W+R	W+R	W+R	0	-	62	9.4	8.5	0	0	0	
201	B+R	B+R	B+R	0	-	61	9.8	9.1	0	0	0	
202	B+R	B+R	B+R	0	-	63	9.5	8.7	0	0	0	
203	W+R	W+R	W+R	0	-	64	9.6	8.7	0	0	0	
204	W+R	W+R	W+R	0	-	62	9.5	8.8	0	0	0	
205	W+R	W+R	W+R	0	-	62	9.3	8.7	0	0	0	
206	W+R	W+R	W+R	0	-	64	10.4	9.4	0	0	0	
207	B+R	B+R	B+R	0	-	61	9.3	8.7	0	0	0	
208	W+R	W+R	W+R	0	-	64	9.8	9.1	0	0	0	
209	B+R	B+R	B+R	0	-	65	10.6	9.9	0	0	0	
210	W+R	W+R	W+R	0	-	62	9.1	8.2	0	0	0	
211	W+R	W+R	W+R	0	-	66	10.7	9.8	0	0	0	
212	W+R	W+R	W+R	0	-	62	9.5	8.6	0	0	0	
213	W+R	W+R	W+R	0	-	60	8.8	8.1	0	0	0	
214	B+R	B+R	B+R	0	-	61	9	8.3	0	0	0	
215	B+R	B+R	B+R	0	-	61	9.2	8.4	0	0	0	
216	W+R	W+R	W+R	0	-	62	9.2	8.4	0	0	0	
217	B+R	B+R	B+R	0	-	57	9.3	8.6	0	0	0	
218	B+R	B+R	B+R	0	-	61	9.7	9	0	0	0	
219	W+R	W+R	W+R	0	-	62	9.3	8.5	0	0	0	
